Trial,StimulusType_Con_1_Inc_2_Nt_3,CorrectFinger,Sync_1_Async_2,ResponseCorrect,ReactionTime,FiXDuration
1,3,1,1,0,0,0
2,1,2,1,0,0,0
3,3,2,2,0,0,0
4,3,1,1,0,0,0
5,1,2,2,0,0,0
6,1,1,2,0,0,0
7,1,1,1,0,0,0
8,1,1,1,0,0,0
9,2,2,2,0,0,0
10,3,1,1,0,0,0
11,2,2,2,0,0,0
12,2,2,1,0,0,0
13,3,1,1,0,0,0
14,3,1,1,0,0,0
15,3,2,2,0,0,0
16,3,1,1,0,0,0
17,1,2,1,0,0,0
18,1,2,2,0,0,0
19,2,1,2,0,0,0
20,1,2,1,0,0,0
21,1,1,1,0,0,0
22,2,2,1,0,0,0
23,3,2,1,0,0,0
24,3,1,1,0,0,0
25,2,2,1,0,0,0
26,1,2,1,0,0,0
27,3,2,1,0,0,0
28,1,2,2,0,0,0
29,2,2,2,0,0,0
30,3,2,1,0,0,0
31,2,2,1,0,0,0
32,3,1,1,0,0,0
33,3,1,2,0,0,0
34,2,1,1,0,0,0
35,2,2,2,0,0,0
36,2,1,1,0,0,0
37,2,1,2,0,0,0
38,1,2,2,0,0,0
39,2,1,2,0,0,0
40,3,1,2,0,0,0
41,2,2,1,0,0,0
42,3,1,1,0,0,0
43,3,2,2,0,0,0
44,2,2,2,0,0,0
45,1,2,1,0,0,0
46,3,1,1,0,0,0
47,1,2,2,0,0,0
48,2,2,1,0,0,0
49,2,1,2,0,0,0
50,1,1,1,0,0,0
51,3,2,2,0,0,0
52,2,2,2,0,0,0
53,1,1,2,1,1.71090010000626,0
54,1,2,1,0,0,0
55,1,1,2,0,0,0
56,1,2,2,0,0,0
57,2,1,2,0,0,0
58,1,2,2,0,0,0
59,1,1,1,0,0,0
60,2,2,1,0,0,0
61,1,1,1,0,0,0
62,1,1,1,0,0,0
63,1,2,2,0,0,0
64,2,2,2,0,0,0
65,1,2,2,0,0,0
66,2,2,1,0,0,0
67,3,1,1,0,0,0
68,3,1,2,0,0,0
69,3,2,1,0,0,0
70,3,1,2,0,0,0
71,3,1,2,0,0,0
72,3,1,1,0,0,0
73,1,2,2,0,0,0
74,3,2,1,0,0,0
75,1,1,1,0,0,0
76,1,1,2,0,0,0
77,2,1,1,0,0,0
78,1,1,2,0,0,0
79,1,1,1,0,0,0
80,2,2,2,0,0,0
81,3,2,1,0,0,0
82,2,1,2,0,0,0
83,1,1,2,0,0,0
84,1,2,1,0,0,0
85,2,2,1,0,0,0
86,2,2,1,0,0,0
87,3,1,2,0,0,0
88,3,2,2,0,0,0
89,3,2,2,0,0,0
90,2,2,2,0,0,0
91,3,2,1,0,0,0
92,1,2,1,0,0,0
93,3,2,1,0,0,0
94,1,1,1,0,0,0
95,1,1,1,0,0,0
96,3,2,2,0,0,0
97,1,1,1,0,0,0
98,3,2,1,0,0,0
99,1,2,2,0,0,0
100,1,1,2,0,0,0
101,3,1,1,0,0,0
102,2,1,2,0,0,0
103,2,2,2,0,0,0
104,1,1,1,0,0,0
105,3,2,2,0,0,0
106,1,2,2,0,0,0
107,3,2,1,0,0,0
108,2,2,1,0,0,0
109,3,2,2,0,0,0
110,3,1,2,0,0,0
111,2,2,2,0,0,0
112,2,2,2,0,0,0
113,3,2,1,0,0,0
114,1,1,2,0,0,0
115,1,2,1,0,0,0
116,2,1,1,0,0,0
117,2,1,2,0,0,0
118,2,2,1,0,0,0
119,3,1,2,0,0,0
120,1,1,1,0,0,0
121,1,1,2,0,0,0
122,1,2,2,0,0,0
123,2,1,1,0,0,0
124,1,2,1,0,0,0
125,1,1,1,0,0,0
126,1,2,2,0,0,0
127,1,1,2,0,0,0
128,3,1,2,0,0,0
129,2,2,2,0,0,0
130,1,2,1,0,0,0
131,1,2,2,0,0,0
132,1,1,1,0,0,0
133,2,2,2,0,0,0
134,1,1,2,0,0,0
135,2,1,2,0,0,0
136,1,2,1,0,1.53348379999807,0
137,2,1,1,0,0,0
138,3,2,2,0,0,0
139,3,2,1,0,0,0
140,1,1,2,0,0,0
141,1,1,1,0,0,0
142,3,1,2,0,0,0
143,2,2,2,0,0,0
144,3,1,2,0,0,0
145,1,1,1,0,0,0
146,1,1,1,0,0,0
147,2,2,2,0,0,0
148,2,2,2,0,0,0
149,3,1,1,0,0,0
150,3,1,2,0,0,0
151,3,1,2,0,0,0
152,3,2,2,0,0,0
153,3,2,1,0,0,0
154,1,1,2,0,0,0
155,1,2,1,0,0,0
156,3,1,1,0,0,0
157,3,1,2,0,0,0
158,2,2,2,0,0,0
159,2,1,2,0,0,0
160,3,2,1,0,0,0
161,2,1,2,0,0,0
162,1,2,2,0,0,0
163,2,1,2,0,0,0
164,1,1,2,0,0,0
165,3,1,1,0,0,0
166,2,1,2,0,0,0
167,3,1,2,0,0,0
168,1,2,1,0,0,0
169,2,1,2,0,0,0
170,2,1,1,0,0,0
171,3,1,2,0,0,0
172,3,1,1,0,0,0
173,3,2,2,0,0,0
174,3,2,2,0,0,0
175,1,1,2,0,0,0
176,1,2,2,0,0,0
177,3,1,2,0,0,0
178,1,2,1,0,0,0
179,3,2,2,0,0,0
180,2,1,1,0,0,0
181,3,1,2,0,0,0
182,1,1,1,0,0,0
183,3,2,2,0,0,0
184,3,2,2,0,0,0
185,1,2,2,0,0,0
186,1,1,1,0,0,0
187,1,2,1,0,0,0
188,3,1,1,0,0,0
189,2,1,1,0,0,0
190,1,1,1,0,0,0
191,1,2,2,0,0,0
192,2,2,1,0,0,0
193,3,1,2,0,0,0
194,3,1,1,0,0,0
195,1,2,1,0,0,0
196,2,2,1,0,0,0
197,2,1,2,0,0,0
198,2,2,1,0,0,0
199,3,2,2,0,0,0
200,2,1,2,0,0,0
201,3,1,1,0,0,0
202,1,2,2,0,0,0
203,3,2,2,0,0,0
204,2,2,1,0,0,0
205,2,2,1,0,0,0
206,1,2,1,0,0,0
207,2,1,1,0,0,0
208,3,2,1,0,0,0
209,3,2,2,0,0,0
210,1,1,2,0,0,0
211,2,2,1,0,1.59994060000463,0
212,2,2,2,0,2.18948709999677,0
213,2,1,2,0,0,0
214,1,2,1,0,0,0
215,2,2,2,0,0,0
216,3,1,2,0,0,0
217,3,2,1,0,0,0
218,2,1,1,0,0,0
219,2,1,1,0,0,0
220,2,2,2,0,0,0
221,3,1,2,0,0,0
222,1,1,2,0,0,0
223,3,1,2,0,0,0
224,3,1,2,0,0,0
225,2,1,1,0,0,0
226,3,2,2,0,0,0
227,2,2,1,0,0,0
228,1,1,2,0,0,0
229,3,2,1,0,0,0
230,2,1,2,0,0,0
231,2,1,2,0,0,0
232,2,1,1,0,0,0
233,1,1,2,0,0,0
234,2,2,1,0,0,0
235,2,2,1,0,0,0
236,1,2,1,0,0,0
237,2,1,1,0,0,0
238,2,2,2,0,0,0
239,2,1,1,0,0,0
240,1,1,2,0,0,0
241,3,1,1,0,0,0
242,1,1,2,0,0,0
243,1,1,1,0,0,0
244,3,1,1,0,0,0
245,2,1,1,0,0,0
246,2,1,2,0,0,0
247,3,1,1,0,0,0
248,2,2,2,0,0,0
249,3,2,2,0,0,0
250,2,2,2,0,0,0
251,1,2,1,0,0,0
252,3,1,2,0,0,0
253,3,2,1,0,0,0
254,2,1,1,0,0,0
255,1,1,1,0,0,0
256,3,2,2,0,0,0
257,3,2,1,0,0,0
258,2,1,1,0,0,0
259,2,1,1,0,0,0
260,2,1,2,0,0,0
261,1,2,1,0,0,0
262,3,2,1,0,0,0
263,2,1,2,0,0,0
264,1,1,2,0,0,0
265,3,1,2,0,0,0
266,2,2,1,0,0,0
267,2,2,1,0,0,0
268,2,2,1,0,0,0
269,2,1,2,0,0,0
270,2,2,2,0,0,0
271,2,1,1,0,0,0
272,1,1,2,0,0,0
273,3,1,1,0,0,0
274,1,1,1,0,0,0
275,1,1,2,0,0,0
276,2,1,2,0,0,0
