Trial,StimulusType_Con_1_Inc_2_Nt_3,CorrectFinger,Sync_1_Async_2,ResponseCorrect,ReactionTime,FiXDuration
1,3,2,2,1,0.431727299999693,1.06360566788878
2,2,1,2,0,0.514192000000548,1.38458602715653
3,1,1,1,0,0.413574000000153,1.46633161322125
4,1,2,2,0,0.415175699999963,1.05103244864301
5,2,1,1,0,0.397833299999547,1.41018178194063
6,2,2,2,0,0.446821400000772,1.1647481634989
7,1,1,1,0,0.328272200000356,1.3237382285497
8,2,2,2,0,0.464356899999984,1.30249837328804
9,1,1,1,0,0,1.67730193712486
10,2,1,2,0,0,0
11,3,2,1,0,0,0
12,3,2,1,0,0,0
13,3,2,1,0,0,0
14,2,1,1,0,0,0
15,2,1,2,0,0,0
16,1,1,2,0,0,0
17,3,1,2,0,0,0
18,2,1,1,0,0,0
19,2,2,2,0,0,0
20,1,2,1,0,0,0
21,3,2,2,0,0,0
22,2,2,2,0,0,0
23,2,1,1,0,0,0
24,1,1,1,0,0,0
25,1,2,1,0,0,0
26,1,1,1,0,0,0
27,1,2,1,0,0,0
28,1,2,1,0,0,0
29,3,2,2,0,0,0
30,2,2,2,0,0,0
31,2,2,1,0,0,0
32,3,2,1,0,0,0
33,2,1,2,0,0,0
34,2,2,1,0,0,0
35,2,2,2,1,0.346991799999159,0
36,2,1,2,0,0,0
37,1,1,2,0,0,0
38,2,2,2,0,0,0
39,1,1,1,0,0,0
40,2,2,2,0,0,0
41,3,2,1,0,0,0
42,3,1,2,0,0,0
43,2,2,1,0,0,0
44,2,1,1,0,0,0
45,1,1,1,0,0,0
46,2,1,1,0,0,0
47,3,2,2,0,0,0
48,2,2,2,0,0,0
49,3,2,2,0,0,0
50,3,2,2,0,0.644551900000806,0
51,3,1,1,0,0,0
52,2,1,2,0,0,0
53,3,2,1,0,0,0
54,2,2,2,0,0,0
55,1,1,1,0,0,0
56,2,2,1,0,0,0
57,1,2,1,0,0,0
58,3,1,1,0,0,0
59,1,1,2,0,0,0
60,1,2,1,0,0,0
61,3,1,2,0,0,0
62,1,1,2,0,0,0
63,1,1,2,0,0,0
64,1,2,2,0,0,0
65,2,2,1,0,0,0
66,2,2,1,0,0,0
67,2,2,1,0,0,0
68,3,1,1,0,0,0
69,2,2,2,0,0,0
70,1,2,2,0,0,0
71,3,1,1,0,0,0
72,3,2,2,0,0,0
73,3,1,2,0,0,0
74,3,1,2,0,0,0
75,1,1,1,0,0,0
76,3,2,1,0,0,0
77,1,1,1,0,0,0
78,3,2,1,0,0,0
79,2,1,2,0,0,0
80,1,2,1,0,0,0
81,1,2,2,0,0,0
82,1,1,1,0,0.4142867999999,0
83,1,1,2,0,0,0
84,3,2,2,0,0,0
85,1,2,1,0,0,0
86,1,2,1,0,0,0
87,3,1,2,0,0,0
88,1,2,2,0,0,0
89,1,1,2,0,0,0
90,1,2,2,0,0,0
91,3,1,1,0,0,0
92,3,1,2,0,0,0
93,3,1,1,0,0,0
94,1,2,2,0,0,0
95,1,2,2,0,0,0
96,1,2,1,0,0,0
97,1,2,1,0,0.431321699999899,0
98,1,2,2,0,0,0
99,2,1,1,0,0,0
100,3,1,2,0,0,0
101,1,2,1,0,0,0
102,1,1,2,0,0,0
103,1,2,1,0,0,0
104,3,2,2,0,0,0
105,2,1,2,0,0,0
106,3,2,2,0,0,0
107,3,2,2,0,0,0
108,1,2,1,0,0,0
109,2,1,1,0,0,0
110,2,2,1,0,0,0
111,2,1,1,0,0,0
112,2,1,2,0,0,0
113,1,2,2,0,0,0
114,1,1,1,0,0,0
115,2,2,2,0,0,0
116,1,1,1,0,0,0
117,1,2,1,0,0,0
118,3,1,1,0,0.462964600001214,0
119,3,2,1,0,0,0
120,2,1,2,0,0,0
121,3,1,2,0,0,0
122,2,2,2,0,0,0
123,1,2,2,0,0,0
124,3,1,1,0,0,0
125,3,2,1,0,0,0
126,1,1,1,0,0,0
127,3,2,1,0,0,0
128,1,2,2,0,0,0
129,2,2,1,0,0,0
130,2,2,2,0,0,0
131,3,2,2,1,0.347910299999057,0
132,2,2,1,0,0,0
133,3,2,2,0,0,0
134,2,1,1,0,0,0
135,1,1,1,0,0,0
136,3,2,1,0,0,0
137,2,1,2,0,0,0
138,2,2,1,0,0,0
139,1,1,1,0,0,0
140,3,1,1,0,0,0
141,1,2,1,0,0,0
142,1,2,2,0,0,0
143,2,2,1,0,0,0
144,1,1,2,0,0,0
145,2,2,1,0,0,0
146,3,1,2,0,0,0
147,3,2,1,0,0,0
148,3,2,2,0,0,0
149,2,1,2,0,0,0
150,3,1,2,0,0,0
151,1,2,2,0,0,0
152,3,1,2,0,0,0
153,2,2,2,0,0,0
154,1,2,2,0,0,0
155,2,2,1,0,0,0
156,2,2,2,0,0,0
157,2,2,2,0,0,0
158,3,1,1,0,0,0
159,2,1,1,0,0,0
160,2,1,2,0,0,0
161,2,1,2,0,0,0
162,3,2,2,0,0,0
163,1,2,1,0,0,0
164,3,2,1,0,0,0
165,2,2,1,0,0,0
166,2,1,1,0,0,0
167,2,2,1,0,0,0
168,2,2,1,0,0,0
169,1,2,2,0,0,0
170,3,2,1,0,0,0
171,2,2,2,0,0,0
172,2,1,1,0,0,0
173,2,1,2,0,0,0
174,3,1,2,0,0,0
